t,base_tx,base_ty,base_tz,quat_x,quat_y,quat_z,quat_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.113099999999999756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
5.000000000000000278e-02,8.563089672181961208e-04,1.223082648314903237e-05,3.089854376186037532e-01,-1.693557505052189138e-03,-1.469723865992741962e-02,5.023205541253424229e-03,9.998779377728266304e-01,-3.207837567038821988e-03,7.188502548597617281e-01,-1.482116411512552245e+00,-3.144826911499461284e-03,7.228888447672906503e-01,-1.471823886767961609e+00,9.413259602466247239e-03,7.521438096453604283e-01,-1.551413815029917265e+00,9.465255956678551158e-03,7.646641540618694943e-01,-1.557685012528241097e+00
1.000000000000000056e-01,6.638084915141681227e-04,-6.731003899607318269e-04,3.086795741729635445e-01,-1.492745684204464752e-03,-3.088176563444843328e-02,1.151850496810313991e-02,9.994555579438842985e-01,-9.375154836025455588e-03,7.258516067711118236e-01,-1.443672261322452188e+00,-9.092490974541808310e-03,7.372638656169927529e-01,-1.425809265567353101e+00,1.971087236432282619e-02,7.952988995961897123e-01,-1.587627752956248806e+00,2.005258738349759845e-02,8.275746109000087225e-01,-1.607727013066966748e+00
1.500000000000000222e-01,-1.625579131192049671e-03,-2.591370593079156057e-03,3.151483974592831361e-01,5.280359107886433388e-03,-4.271871007280732963e-02,1.314544330014751072e-02,9.989867000805615627e-01,-1.822190618024004463e-02,6.978048109386968401e-01,-1.354359926970676087e+00,-1.796512056984418682e-02,7.184590145604353717e-01,-1.351578500452847553e+00,1.416820563019922409e-02,8.001005812135386641e-01,-1.565099543709012275e+00,1.477672779173964598e-02,8.445113067369151016e-01,-1.603708439404904373e+00
2.000000000000000111e-01,-9.631582666291174655e-03,-6.361767739150072688e-03,3.287604542026459908e-01,7.385520765057746774e-03,-3.098057025713026394e-02,1.126260853480244746e-02,9.994292431175724190e-01,1.012076072596342600e-02,3.192791539078494445e-01,-1.865545178285453964e+00,-9.514091843897676259e-03,6.410625223235044690e-01,-1.289939168052430363e+00,1.728905922828825187e-02,6.882873467639479825e-01,-1.428998212471519702e+00,-4.792105328265977571e-02,4.786982841055973381e-01,-2.089693404362743756e+00
2.500000000000000000e-01,-1.720689952777628220e-02,-1.114132079203029174e-02,3.378511733697336927e-01,1.574315165012599854e-02,-1.610900810826246948e-02,7.989874502180862106e-03,9.997143666764665149e-01,2.570618340540415953e-03,-9.131273433368779224e-02,-1.992370200048796836e+00,-8.952135616952263536e-03,5.812437194638280236e-01,-1.277446751980594764e+00,9.314737175624443824e-03,5.787530548727540802e-01,-1.300935564103906650e+00,3.053394458371367845e-02,1.875083308021862072e-01,-2.214144254014837720e+00
2.999999999999999889e-01,-2.389294751091972438e-02,-1.677162544226225294e-02,3.426373404646516074e-01,3.200972386724970642e-02,-9.747010550924603209e-03,-8.891338061501996570e-03,9.994004790226681534e-01,2.323396898620819391e-03,-2.774035138459554628e-01,-1.918084885414440999e+00,-2.776525328315698152e-03,5.405650312504020061e-01,-1.288250183452653852e+00,-2.357345574503349681e-02,5.278555629903285418e-01,-1.229021160516954980e+00,3.558730511809334723e-02,1.280543574522341188e-01,-2.208281868429420758e+00
3.499999999999999778e-01,-2.900687852653108592e-02,-2.412017291265865573e-02,3.452498400327199679e-01,2.238235380401635416e-02,-2.946849676059451820e-02,-4.468220436190938061e-02,9.983156507589286965e-01,1.889749744834618925e-02,-1.226641222240367202e-01,-1.678723722616034308e+00,8.352610658053891135e-02,5.132716566455837182e-01,-1.223391815897048707e+00,-1.794810355029746035e-02,6.120746811647965746e-01,-1.287406111726005831e+00,-1.094174124793457492e-01,5.082523931815881024e-01,-2.038922053417777658e+00
3.999999999999999667e-01,-3.883103934300516369e-02,-3.458049879444656527e-02,3.461706307236830371e-01,-1.027301811221094548e-02,-2.856428463439474388e-02,-8.182504441435826947e-02,9.961843247355279818e-01,-5.850735165967709678e-02,8.465853484741062696e-01,-1.133461167455859009e+00,-3.779807972847545189e-02,4.533514150419602762e-02,-1.643629968738787417e+00,6.407707917973592959e-02,2.559699161661780353e-01,-1.855552685857957407e+00,7.872592865352712188e-02,7.293149071882534251e-01,-1.367349119450221195e+00
4.499999999999999556e-01,-5.038053102200095584e-02,-4.378302426490667670e-02,3.430901496151793073e-01,1.423753984577573592e-03,-8.218360596240235211e-03,-1.251120126976271729e-01,9.921075625921064178e-01,-1.814288002537607289e-02,8.331145242871093037e-01,-1.176286882791198085e+00,-1.066074503945586317e-02,-3.596079307825024163e-01,-1.786750323706462362e+00,-1.102653895510021659e-01,-2.798745449562585821e-02,-1.960228886628025302e+00,4.454373747389420851e-02,6.021009050216578062e-01,-1.321041725488959928e+00
