FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
3.164551192457857362e-05,7.906443312182835914e-01,-1.434696543895020771e+00,3.164550971687277403e-05,7.906443314794366906e-01,-1.434696544004517627e+00,3.158257717404283637e-05,8.604840925475016888e-01,-1.568173215460882730e+00,3.158257912938958244e-05,8.604840927400436712e-01,-1.568173215100687523e+00
3.295376024842637449e-05,7.786069500341586958e-01,-1.402580881525518297e+00,3.295375150744316327e-05,7.786069502790494701e-01,-1.402580881625909770e+00,3.288996093107558587e-05,8.495125796800441220e-01,-1.537785364698815327e+00,3.288996605963897879e-05,8.495125798644095338e-01,-1.537785364360225060e+00
3.599285417679420727e-05,7.671728195408954454e-01,-1.374696968485672688e+00,3.599286512881505267e-05,7.671728197370758506e-01,-1.374696968564869781e+00,3.593847500338279193e-05,8.376351096018473941e-01,-1.508880463208975398e+00,3.593846909370143085e-05,8.376351097531201662e-01,-1.508880462936363465e+00
4.025701360787011803e-05,7.565357315029533902e-01,-1.350949503099314164e+00,4.025701761111301851e-05,7.565357316555546552e-01,-1.350949503159586840e+00,4.021337662702545446e-05,8.252919082833574116e-01,-1.481811084562676406e+00,4.021337490030544372e-05,8.252919084026802965e-01,-1.481811084350736829e+00
4.562656872689751928e-05,7.468771483184230009e-01,-1.331066287641038182e+00,4.562656715428578172e-05,7.468771484381271364e-01,-1.331066287686609062e+00,4.559274166702122769e-05,8.130027953131946372e-01,-1.456915611096299079e+00,4.559274112633558771e-05,8.130027954062223339e-01,-1.456915610932260297e+00
5.222119893396016618e-05,7.383076058025755950e-01,-1.314708010062119348e+00,5.222120283489739052e-05,7.383076058901271166e-01,-1.314708010093789792e+00,5.219774236965754306e-05,8.012265201746592291e-01,-1.434488612586419798e+00,5.219774265125868792e-05,8.012265202410920883e-01,-1.434488612469258850e+00
6.020637975425953187e-05,7.309027820484926830e-01,-1.301478592638649623e+00,6.020638096329600388e-05,7.309027820916128571e-01,-1.301478592653109390e+00,6.019642602970857911e-05,7.903699790376577106e-01,-1.414739698860304928e+00,6.019642771906819593e-05,7.903699790687832571e-01,-1.414739698804818424e+00
6.961998277199110512e-05,7.246584324503368979e-01,-1.290994445516023825e+00,6.961998499622252428e-05,7.246584324301416080e-01,-1.290994445507962052e+00,6.962816411534443386e-05,7.806941263358502248e-01,-1.397776576012323524e+00,6.962816504532460713e-05,7.806941263183748703e-01,-1.397776576041309005e+00
8.023631090693325064e-05,7.195366787013620646e-01,-1.282884249609570482e+00,8.023631319570782145e-05,7.195366785989297798e-01,-1.282884249573583268e+00,8.026732494869727246e-05,7.723769542140377364e-01,-1.383631354243414657e+00,8.026732550491892648e-05,7.723769541344556178e-01,-1.383631354379677214e+00
9.149579623544354954e-05,7.154741155807238240e-01,-1.276809685045314557e+00,9.149579808305540254e-05,7.154741153815306065e-01,-1.276809684977279202e+00,9.155325972652528959e-05,7.655210466978982220e-01,-1.372278993508780243e+00,9.155325919782747652e-05,7.655210465457379376e-01,-1.372278993769657562e+00
1.025054995895043368e-04,7.123904423336948621e-01,-1.272479382436678907e+00,1.025054987596434714e-04,7.123904420300266604e-01,-1.272479382334585685e+00,1.025911626200775407e-04,7.601615643252710441e-01,-1.363648396459763212e+00,1.025911617794245134e-04,7.601615640951130404e-01,-1.363648396854047373e+00
1.121034749098096461e-04,7.102029618466825234e-01,-1.269663247010720974e+00,1.121034716638631115e-04,7.102029614391690560e-01,-1.269663246875227136e+00,1.122165982745298768e-04,7.562882632034018116e-01,-1.357649514266228374e+00,1.122165961930803892e-04,7.562882628963352172e-01,-1.357649514792048207e+00
1.189793860782572551e-04,7.088377208722260736e-01,-1.268197007403130794e+00,1.189793813169368346e-04,7.088377203726021758e-01,-1.268197007238543117e+00,1.191158407626064680e-04,7.538636503260673916e-01,-1.354190132279650349e+00,1.191158370853417442e-04,7.538636499519832945e-01,-1.354190132920787937e+00
1.218379020244115776e-04,7.082328657852493548e-01,-1.267970196442812059e+00,1.218378962740607798e-04,7.082328652207188213e-01,-1.267970196258647375e+00,1.219888728360354343e-04,7.528398435782590603e-01,-1.353189048768957736e+00,1.219888680217887767e-04,7.528398431593015250e-01,-1.353189049489065932e+00
1.195912890448727270e-04,7.083416720692199409e-01,-1.268926803868156927e+00,1.195912834279427644e-04,7.083416714898539412e-01,-1.268926803681688753e+00,1.197413889321205770e-04,7.531645323624284183e-01,-1.354582217328863081e+00,1.197413837968616733e-04,7.531645319385006365e-01,-1.354582218061864074e+00
1.115735464310551591e-04,7.091344634311272932e-01,-1.271072800885478582e+00,1.115735426231298028e-04,7.091344629199149985e-01,-1.271072800725136176e+00,1.116986431624600171e-04,7.547793672700947587e-01,-1.358323708312522138e+00,1.116986388171783685e-04,7.547793669059528199e-01,-1.358323708949776387e+00
9.777716333876712237e-05,7.105955968625103925e-01,-1.274476929928896940e+00,9.777716203110234405e-05,7.105955965440793332e-01,-1.274476929837250916e+00,9.784309405442159107e-05,7.576144186358633181e-01,-1.364382099097715573e+00,9.784309222145791927e-05,7.576144184267152859e-01,-1.364382099477016386e+00
7.912174799026169239e-05,7.127174617371935250e-01,-1.279270771242462024e+00,7.912174868744093164e-05,7.127174617775435816e-01,-1.279270771276285634e+00,7.908590764611118950e-05,7.615763903780901067e-01,-1.372730158836245051e+00,7.908590972131988742e-05,7.615763904478515256e-01,-1.372730158742543782e+00
5.774986695551257316e-05,7.154925805581590081e-01,-1.285650144417382457e+00,5.774987434696404450e-05,7.154925811415762116e-01,-1.285650144640129389e+00,5.756854471172265589e-05,7.665298579970566406e-01,-1.383326364125617713e+00,5.756854543110334697e-05,7.665298584792512582e-01,-1.383326363321165875e+00
3.728187383511846569e-05,7.188971837608559845e-01,-1.293885118922360133e+00,3.728187306225294980e-05,7.188971850263575769e-01,-1.293885119383073823e+00,3.692636726273177403e-05,7.722581310926102116e-01,-1.396083074707408667e+00,3.692637701563371739e-05,7.722581320824647433e-01,-1.396083073013125952e+00
