FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
-1.501131767406497890e-02,7.249985730539940665e-01,-1.489398443591213095e+00,-1.499508621889730255e-02,7.308872219632328582e-01,-1.486378044291412515e+00,-4.867335490449015145e-03,7.532058491481473661e-01,-1.547774775358786714e+00,-4.833996165051523790e-03,7.657727279081941729e-01,-1.557860091545569592e+00
-2.032014514228219770e-02,7.549431596030153901e-01,-1.468892016327638439e+00,-2.022107553308396741e-02,7.611418955317673651e-01,-1.456354249451925487e+00,-2.838439814267899961e-03,8.189169385612700136e-01,-1.598209967692642675e+00,-2.732872942303293459e-03,8.376396557574622426e-01,-1.608370189613120838e+00
-2.814581167793798414e-03,7.717484617496540578e-01,-1.416882784207377899e+00,-2.735792924181009843e-03,7.645406036626637425e-01,-1.393110031234289226e+00,3.980284768535099875e-03,8.730773449248580009e-01,-1.614828809592778969e+00,4.009152629615431174e-03,8.720210876965539537e-01,-1.601884128284619235e+00
2.010477234582740483e-02,7.651918132907561954e-02,-1.930502392737753814e+00,3.647638821560042141e-03,7.187874858684796253e-01,-1.332113405380767501e+00,-5.158869782667560057e-03,8.235541678169432389e-01,-1.525164146784764307e+00,-6.995214013279607568e-02,3.606869283808813997e-01,-2.119349333357907206e+00
-9.903271364170046498e-02,-2.888287383431504263e-01,-2.076551902279169415e+00,4.073209063804373621e-03,7.080907706876936603e-01,-1.279973627672371217e+00,-1.317081961597930256e-02,8.220961470738388233e-01,-1.476525569146147188e+00,8.622097830964653431e-02,1.018790282249039530e-01,-2.248209265549790281e+00
-6.929777273484737099e-02,-3.375804124881774393e-01,-2.028111280529491189e+00,1.666143628550116260e-02,7.239524340112746259e-01,-1.273283428098245018e+00,-2.315533406335286426e-02,8.566992000485177394e-01,-1.471261927645436618e+00,5.750506682174397199e-02,4.365504923010931487e-02,-2.200609873156611940e+00
1.220146193755129171e-01,-2.045109004463213365e-01,-1.844202337075233178e+00,-5.548631698840078737e-03,7.627715519530039456e-01,-1.337260169373492902e+00,-7.224582766664272571e-02,8.696276138498593156e-01,-1.449896780503289184e+00,-1.419288104372043446e-01,2.510256145195497446e-01,-1.990754438552405858e+00
-3.728068164796338735e-02,5.047257240837329517e-01,-1.312086493006455745e+00,-1.053421750920945366e-01,-3.560477574479002823e-03,-1.871265906645594335e+00,1.065928750806624248e-01,3.919803267694876303e-01,-2.021270296176008507e+00,2.805059471839531013e-02,8.316830095029689174e-01,-1.448398875923366358e+00
-5.844899809396417872e-02,5.500861532793900333e-01,-1.368265062574215873e+00,9.475581442943638300e-02,-4.929454861678199684e-01,-2.015080421196893123e+00,-9.050565191768360218e-02,6.604689771281935240e-02,-2.144072395004644083e+00,-1.323344599336615662e-02,8.313380834247349194e-01,-1.429100667722960294e+00
-9.148891607258327618e-02,6.040560192730562994e-01,-1.427337829675453529e+00,7.716964943438529845e-02,-6.551391109364935739e-01,-2.021519096297851981e+00,-9.863538368996678518e-02,-9.291111841135898941e-02,-2.096617666044691575e+00,-2.042627621348729397e-02,8.632845642571825850e-01,-1.410533308917224504e+00
-7.558623499000419188e-02,6.605720472268337140e-01,-1.518005516394332677e+00,-1.530066651079673434e-01,-3.400997377651207021e-01,-1.911477983773135492e+00,6.885166124222463768e-02,5.288975858376878530e-02,-1.913559950170668156e+00,3.920517693791591290e-02,8.478927180765731819e-01,-1.320773116745770137e+00
1.063353401899546080e-01,1.571943417339119334e-03,-2.059763691474596925e+00,2.802129166366851276e-02,4.713489024766099322e-01,-1.514620870080065407e+00,-7.727532307818969770e-02,5.424785874735906788e-01,-1.364933278969926667e+00,-1.240388890841303549e-01,1.030460303282411783e+00,-1.940287177597661117e+00
-1.365517143442518955e-01,-5.113399904966476894e-01,-2.202116548910750815e+00,3.720341820786852299e-02,5.413096088435348507e-01,-1.558566612198306833e+00,-2.980231587417295561e-02,5.494286940809761655e-01,-1.328286662313476363e+00,9.400022922475861908e-02,1.121311905391315200e+00,-2.164832461848909428e+00
-1.728334742820479553e-01,-6.786003402397642326e-01,-2.170815008172366056e+00,5.538877945615030413e-02,6.188728652063112401e-01,-1.573102085863202992e+00,-2.299838241565174343e-02,6.143220219265093096e-01,-1.317796376014136017e+00,4.300059180370215117e-02,1.003523126873163474e+00,-2.152122770902169968e+00
8.605908900279125862e-02,-4.545475952852938706e-01,-2.003960452564918615e+00,-9.656406316050473743e-04,7.038197896113659313e-01,-1.609509589203134583e+00,-1.223736291602113280e-01,6.719739457754924095e-01,-1.264696120396286316e+00,-1.918168965962637473e-01,7.452063909969866007e-01,-1.920793412715331439e+00
-2.377554055516540449e-02,3.278526980790408829e-01,-1.526888006517693075e+00,-1.715589077616875013e-01,-1.131294040102412968e-01,-2.137535086352374769e+00,1.200620015833503279e-01,6.553542261718174888e-01,-1.855564830987174174e+00,7.308443719907839475e-02,5.634908795925231972e-01,-1.272561595778169519e+00
-6.189775629730982082e-02,4.676982976978091844e-01,-1.530400475843605390e+00,1.026437190960424878e-01,-6.073537133047450798e-01,-2.272452714921262107e+00,-9.299280316751518116e-02,5.559369213555257483e-01,-2.037212609065724322e+00,-2.530833272155505465e-02,6.479503732137480432e-01,-1.263226753733653451e+00
-9.425369345431350299e-02,5.899390196554807897e-01,-1.551551614928419642e+00,1.201495435229447684e-01,-7.471268039994122256e-01,-2.233845012357280613e+00,-8.475305940251050274e-02,3.586930640353868105e-01,-2.024015482887850936e+00,-5.113748536613663825e-02,7.230454226662170747e-01,-1.213020329012193033e+00
-6.483119462010324130e-02,7.033178003066286044e-01,-1.632218186752599776e+00,-1.224454224882873393e-01,-5.141279224708210638e-01,-2.060006558071316718e+00,1.342594419909876879e-01,2.115516947294774630e-01,-1.805975685102650052e+00,3.447442297947902329e-02,7.284112695872916321e-01,-1.063517996554312894e+00
1.478489355774534886e-01,-1.445763452186068498e-01,-2.147985514254632022e+00,2.400503652224977164e-03,2.358962977956362284e-01,-1.592897428507221713e+00,-8.627964531207917009e-02,2.727334726041162338e-01,-1.187438306147754918e+00,-1.223384287795620667e-01,1.302775868091405886e+00,-1.592427156726982540e+00
-1.157298486320322839e-01,-6.733072292845923013e-01,-2.252548504706247012e+00,1.827733081594234629e-02,3.905512470496236843e-01,-1.647145529907606543e+00,-6.664446192030663157e-03,3.476035388943351512e-01,-1.190077218857225727e+00,1.045761543923855730e-01,1.630607592863343003e+00,-1.777489637618727247e+00
-1.327500119370300935e-01,-8.494653595140132518e-01,-2.201463688550164832e+00,6.575211485767862296e-02,5.175158824905146115e-01,-1.668676632961194395e+00,2.758831405397934450e-02,4.379257673950722740e-01,-1.169395503115962631e+00,6.410024179572543224e-02,1.501118673401891757e+00,-1.806746328937908652e+00
1.048643735808775929e-01,-6.729269706028792042e-01,-2.021018982263021790e+00,4.132854485752462947e-02,6.316247487457947729e-01,-1.706793673121921984e+00,-5.945680639028246700e-02,4.997153485796826389e-01,-1.073576614928984929e+00,-1.974241438619669942e-01,9.837682207416003077e-01,-1.655937869670212059e+00
8.527884644377639253e-03,1.179029064807359389e-01,-1.547445831941356209e+00,-1.603544802289874338e-01,-1.139201696799274216e-01,-2.205993735122949939e+00,1.375916657199078852e-01,8.783582691238480677e-01,-1.627976974771359719e+00,1.341953599368592431e-01,3.401008473675983246e-01,-1.078791636902080908e+00
-1.477072839348795089e-02,3.137728508127487492e-01,-1.592275578406865177e+00,1.186311654108141850e-01,-6.735644808214735768e-01,-2.304305704161712320e+00,-9.756795218759423127e-02,1.074564565359687363e+00,-1.804968729135829619e+00,1.845008889068486257e-02,4.325915882940595258e-01,-1.069440990788900425e+00
-5.437456956677354930e-02,4.708643787397274738e-01,-1.623855611776493735e+00,1.449844488834515221e-01,-8.657219252878314286e-01,-2.245773653519644419e+00,-6.424458038061517384e-02,9.444529407158192003e-01,-1.814099672042845501e+00,-1.351501276099350071e-02,5.202735110830508658e-01,-1.015408846173563751e+00
-5.828544607736431404e-02,5.999875112734381899e-01,-1.679741790275593116e+00,-8.428862889332322528e-02,-6.544677507769059988e-01,-2.069736864045747193e+00,1.830319426392033322e-01,5.979621350360855292e-01,-1.635443272449435881e+00,4.752531296502889718e-02,5.474470644902125205e-01,-8.633621602767150849e-01
1.942425492667212428e-01,-2.239509333134489730e-02,-2.160163336661105937e+00,7.047930460338122649e-03,1.176663697952778781e-01,-1.601591750655220858e+00,-9.621827590873167912e-02,2.992561864032232677e-01,-1.046575112164346733e+00,-8.203235688122768876e-02,1.238402026949807722e+00,-1.361434943975208034e+00
-7.115034676180924389e-02,-6.037169634428434239e-01,-2.244989788830598965e+00,6.866070593353887017e-03,3.171178077398250639e-01,-1.658031540342880472e+00,-3.157952716443417941e-03,3.824278087663028347e-01,-1.029071678789520439e+00,1.618808265267805413e-01,1.684939609400428306e+00,-1.524087641364500367e+00
-1.063804247804828185e-01,-8.433661591638974553e-01,-2.194226568972216462e+00,6.898051941312578761e-02,4.808911906370537115e-01,-1.670345273406052211e+00,5.726180325593383663e-02,4.821180805959200955e-01,-9.932985073380511398e-01,7.743129948638557969e-02,1.628233614682299102e+00,-1.566509163399062210e+00
1.002227573421363011e-01,-6.903792150520710047e-01,-2.026054717496055702e+00,9.041260682081125877e-02,6.138199470315925943e-01,-1.714663907182613967e+00,9.206910682095868076e-03,5.197941373156907963e-01,-8.474953420283295458e-01,-2.196054989657287571e-01,1.094874958013311472e+00,-1.477177175058687508e+00
1.582934301953606640e-02,8.981732313742218921e-02,-1.568820448919697075e+00,-1.114580810488198098e-01,-1.135813086750477180e-01,-2.170782971574230391e+00,1.274035444726221988e-01,1.410817461624040092e+00,-1.227161557919762336e+00,1.204323987965916359e-01,3.058827937341649927e-01,-1.001551026760139962e+00
1.003965022914272975e-02,2.826169416733790296e-01,-1.636509263261157754e+00,1.153566150882602559e-01,-6.513878616511363795e-01,-2.255727398151879726e+00,-1.026841174742541551e-01,1.921035932707547245e+00,-1.337531587906819031e+00,3.663440465246508432e-02,4.076045335162251648e-01,-1.017891126900987819e+00
-4.633004876398987698e-02,4.294029773655378968e-01,-1.674055070447641791e+00,1.254456367904543124e-01,-8.406162721673914318e-01,-2.196810389606852265e+00,-5.773070686185039629e-02,1.860335309976874907e+00,-1.415648240226665688e+00,2.315909646871749418e-03,4.924537744817472085e-01,-9.738539043053767719e-01
-8.621936258039805678e-02,5.533021661404322611e-01,-1.708378033424188924e+00,-8.810194492723227855e-02,-6.147507605462176894e-01,-2.019171153634895521e+00,2.139395590127662894e-01,1.251677080083303473e+00,-1.423166461167977515e+00,4.332032587530738887e-02,5.344934396829599255e-01,-8.381755753517490248e-01
1.398963297130627337e-01,-2.509078646955681391e-02,-2.156779714809116566e+00,4.459307104231511470e-02,1.594929434724652317e-01,-1.544555023790181281e+00,-8.336093139962894027e-02,4.048521091643594860e-01,-1.048405837051251455e+00,-9.333215170440038733e-02,1.228185573129119801e+00,-1.333833291389389775e+00
-1.013453879572287913e-01,-5.486245474755684359e-01,-2.232848419420512709e+00,2.525571052234117445e-02,3.418051913293065902e-01,-1.588902777179383996e+00,-5.333852520103299875e-03,4.910162576415973423e-01,-1.043825546160370266e+00,1.386190129643437297e-01,1.679361698713089268e+00,-1.498574500505768459e+00
-1.279056483809717093e-01,-7.588161315857231415e-01,-2.185065827877371802e+00,7.366301979726655458e-02,4.913254581347888950e-01,-1.594145331619055028e+00,4.960603633526535633e-02,5.970979189851921554e-01,-1.029324377273650226e+00,5.066563174977314205e-02,1.647268403173814066e+00,-1.566928266824479055e+00
7.712791884050956837e-02,-5.766397699192989945e-01,-2.019418293908570305e+00,6.827758054496364803e-02,6.176295224545655937e-01,-1.640878107132290209e+00,-1.291321988635902966e-02,6.395002347859914948e-01,-9.062415805625420040e-01,-2.312622925072806979e-01,1.142136726358996546e+00,-1.536430393173279008e+00
